"","CODE","POSTCODE","NUMBER_OF_PATIENTS"
"285","P81027","OL13 9NR",14760
"286","P81032","BB9 7SR",12945
"287","P81035","BB10 1LS",6903
"288","P81036","BB5 2EJ",16031
"289","P81047","BB11 1PS",15828
"290","P81053","BB10 2EZ",8000
"291","P81065","BB18 6QT",15114
"292","P81069","BB7 2JG",11320
"293","P81070","BB9 5RZ",7712
"294","P81078","BB18 5BG",11863
"295","P81088","OL12 8QS",7244
"296","P81095","BB10 3BF",8689
"297","P81099","BB4 5SL",10755
"298","P81100","BB7 2JG",14848
"299","P81118","BB4 7PL",8890
"300","P81123","BB9 7SR",13627
"301","P81130","BB12 8BP",13165
"302","P81132","BB4 7DN",8957
"303","P81137","BB11 3HR",6346
"304","P81147","BB5 0AL",4267
"305","P81160","BB5 1RP",15145
"306","P81165","BB12 0HL",2384
"307","P81166","BB5 4LF",2624
"308","P81170","BB9 7SR",9254
"309","P81182","BB5 1RT",6391
"310","P81197","BB12 6HY",4807
"311","P81212","BB4 5SL",5094
"312","P81218","BB5 5HU",6516
"313","P81620","BB7 3EP",1270
"314","P81686","BB4 5SL",2570
"315","P81699","BB5 3BP",2210
"316","P81711","BB5 4LF",2752
"317","P81726","BB5 1QE",1924
"318","P81730","BB6 7QR",8256
"319","P81731","BB9 7SR",2727
"320","P81732","BB8 8QU",4324
"321","P81736","BB9 7SR",4072
"322","P81738","BB1 4LA",1065
"323","P81755","BB1 4LA",8710
"324","P81757","BB9 8QP",3467
"325","P81780","BB11 2DL",5234
"326","Y02605","BB5 6AS",3328
"327","Y02606","BB4 7PL",5833
"328","P86001","OL16 4EG",6923
"329","P86002","OL11 1DN",1615
"330","P86003","OL11 5AQ",11858
"331","P86004","M24 4DZ",9409
"332","P86005","OL16 2DN",6341
"333","P86006","OL12 6RT",14585
"334","P86007","OL11 1AD",12927
"335","P86008","OL12 9BE",9575
"336","P86009","OL11 3HY",9816
"337","P86010","M24 2AU",8527
"338","P86011","OL10 4NH",8855
"339","P86012","M24 5QL",8774
"340","P86013","OL12 0SN",6882
"341","P86014","OL16 2UP",8693
"342","P86015","M24 2PU",4375
"343","P86016","OL10 3SD",9078
