"","CODE","POSTCODE","NUMBER_OF_PATIENTS"
"3349","Y05291","NR19 1LD",3752
"3350","Y06275","NR31 0DW",6244
"3351","N81001","CW3 0AH",5019
"3352","N81002","SK9 1PA",12711
"3353","N81005","WA6 0BW",9812
"3354","N81006","CW6 9PE",5346
"3355","N81008","ST7 2LU",10593
"3356","N81009","CH3 5UJ",7570
"3357","N81010","CW5 5NX",7249
"3358","N81013","SK11 6JL",7507
"3359","N81016","CW1 3AW",30297
"3360","N81018","CW6 0BE",8113
"3361","N81022","SK10 5JH",33890
"3362","N81024","CW7 1AT",10451
"3363","N81025","CW8 4AZ",9821
"3364","N81027","CW12 1JP",14111
"3365","N81029","SK11 6JL",12809
"3366","N81030","WA6 6RX",17488
"3367","N81031","CW6 0BE",5911
"3368","N81032","CW11 1EQ",26860
"3369","N81033","SK9 7EP",8667
"3370","N81034","CH2 3DP",12896
"3371","N81038","SY14 8PS",7572
"3372","N81039","CW10 9BE",11176
"3373","N81040","CW7 1AT",6560
"3374","N81043","CW1 5QY",5816
"3375","N81044","CW1 5HA",10279
"3376","N81046","CH2 3RD",10166
"3377","N81047","CW5 5NX",13266
"3378","N81049","WA16 0LY",23008
"3379","N81050","CH66 3SP",20181
"3380","N81051","CW8 3EU",7332
"3381","N81052","CW12 1QG",11787
"3382","N81053","CW1 3AW",16551
"3383","N81055","CW9 5EX",7309
"3384","N81060","CH64 4BN",9241
"3385","N81061","CW9 5QU",8513
"3386","N81062","SK11 6JL",15386
"3387","N81063","CH65 0DB",11709
"3388","N81067","CW8 4LF",9257
"3389","N81068","CW1 3HB",14695
"3390","N81069","SK11 9BS",4383
"3391","N81070","SK9 3HL",9810
"3392","N81071","ST7 3BT",4729
"3393","N81074","CW7 1LY",5324
"3394","N81077","CW4 7BB",12835
"3395","N81079","CH1 4DS",9487
"3396","N81080","CH1 4DS",8164
"3397","N81081","CH1 4EN",9808
"3398","N81082","CH1 2NR",15787
"3399","N81084","CW2 5DA",19175
"3400","N81085","SK11 6JL",9122
"3401","N81086","SK9 5HX",14205
"3402","N81087","CW9 5HR",24804
"3403","N81088","SK11 6JL",11338
"3404","N81090","CW5 5NX",4592
"3405","N81092","CH66 2WW",12928
"3406","N81093","CH65 6TG",16058
"3407","N81100","CH2 1HD",7450
"3408","N81101","CH4 7JS",7521
"3409","N81102","CH1 4DS",3502
"3410","N81111","ST7 2LU",6873
"3411","N81113","CW9 7DB",7209
"3412","N81115","CH4 8HX",7308
"3413","N81117","CH65 9AD",5702
"3414","N81118","CW12 1DY",8157
"3415","N81120","CW6 0QG",5490
"3416","N81121","CH1 4DS",6722
"3417","N81123","CW7 3GY",6596
"3418","N81125","CH64 3RA",7446
"3419","N81127","CW7 1AT",8043
"3420","N81607","CH65 2ER",3311
"3421","N81614","CW5 8EW",5017
"3422","N81624","CH3 9RE",8642
"3423","N81626","CH1 5PA",4248
"3424","N81632","SK11 6JL",5707
"3425","N81642","CW10 9BH",4723
"3426","N81655","CH1 3EQ",336
"3427","Y02045","SK11 6JL",9
"3428","Y04664","CH64 2TN",4427
"3429","Y05750","SK9 7UD",128
"3430","B82007","BD24 9JA",9545
"3431","B82053","BD23 2HZ",13354
"3432","B83002","LS29 8TQ",5086
"3433","B83005","BD3 7HZ",6820
"3434","B83008","BD21 2JH",12401
"3435","B83009","BD12 9NG",15306
"3436","B83010","BD6 2DD",10164
"3437","B83012","BD8 9PB",10595
"3438","B83014","BD16 4RP",13137
"3439","B83015","BD4 9QA",8780
"3440","B83016","BD3 0HX",7481
"3441","B83017","BD7 4PL",7891
"3442","B83018","BD10 8RU",12310
"3443","B83019","LS29 7HG",6903
"3444","B83020","BD13 2GD",8578
"3445","B83021","BD21 2LD",12975
"3446","B83022","BD17 5NH",9239
"3447","B83023","BD21 1SA",9758
"3448","B83025","BD5 0NX",4308
"3449","B83026","BD3 0BS",5663
"3450","B83028","BD6 1TD",10824
"3451","B83029","BD12 0TH",10262
"3452","B83030","BD13 3LG",9068
"3453","B83031","BD16 3PA",3825
"3454","B83032","BD3 8QH",3862
"3455","B83033","BD21 1LA",64466
"3456","B83034","BD7 3AH",6932
"3457","B83035","BD7 3EG",10327
"3458","B83037","BD15 0NJ",10133
"3459","B83038","BD9 5PZ",18670
"3460","B83039","BD18 1QB",24015
"3461","B83041","BD4 7SS",14441
"3462","B83042","BD4 7SS",7986
"3463","B83045","BD14 6NF",13373
"3464","B83051","BD5 0HR",8048
"3465","B83052","BD8 9LB",23738
"3466","B83054","BD10 9AZ",6065
"3467","B83055","BD7 3JX",23650
"3468","B83056","BD2 3AA",7851
"3469","B83058","BD3 8QH",7672
"3470","B83062","BD10 0JE",8479
"3471","B83063","BD18 3EG",20267
"3472","B83064","BD2 1QG",10734
"3473","B83067","BD16 4RP",7687
"3474","B83602","BD21 3AU",6916
"3475","B83604","BD8 8RA",3441
"3476","B83611","BD3 0BS",7462
"3477","B83614","BD8 8RA",9309
"3478","B83617","BD8 9DW",2602
"3479","B83620","LS29 0LZ",3190
"3480","B83621","BD7 3EG",4187
"3481","B83622","BD8 9LB",4974
"3482","B83624","LS29 8TH",17825
"3483","B83626","BD2 4RA",6516
"3484","B83627","BD9 4LH",3744
"3485","B83628","BD8 7RT",9082
"3486","B83629","BD2 4RA",3043
"3487","B83641","BD8 9DP",7963
"3488","B83642","BD8 9DW",3490
"3489","B83653","BD5 0NX",9122
"3490","B83657","BD1 3LS",5983
"3491","B83659","BD7 2BL",3438
"3492","B83660","BD8 8JT",6060
"3493","B83661","BD3 8QH",2955
"3494","Y01118","BD2 2HX",3345
"3495","Y05180","HD1 9RX",61
"3496","H83001","SE25 4QB",13440
"3497","H83004","CR2 7NG",11364
"3498","H83005","SE19 2NT",15184
"3499","H83006","CR0 0JA",11383
"3500","H83007","CR0 4HN",10858
"3501","H83008","CR0 7LJ",3533
"3502","H83009","SW16 4NL",10818
"3503","H83010","SE25 6BY",6738
"3504","H83011","CR7 7HQ",6503
"3505","H83012","CR0 2BZ",10085
"3506","H83013","CR5 1HF",17168
"3507","H83014","CR2 8DU",7073
"3508","H83015","CR2 6EX",13889
"3509","H83016","CR8 2YL",22336
"3510","H83017","CR7 7JN",14618
"3511","H83018","CR2 8LG",12593
"3512","H83019","CR0 1ED",8222
"3513","H83020","CR7 6AR",10809
"3514","H83021","CR7 6AR",5999
"3515","H83022","CR7 8RL",6757
"3516","H83023","CR0 6HA",6771
"3517","H83024","CR8 3EE",17688
"3518","H83028","CR0 0JA",9390
"3519","H83029","CR0 8RG",4560
"3520","H83030","CR0 8NG",3234
"3521","H83031","CR2 6AD",3571
"3522","H83033","CR0 7AG",3921
"3523","H83034","CR0 2JJ",7261
"3524","H83037","SE19 2DF",7417
"3525","H83039","CR0 6AH",7781
"3526","H83040","CR2 9HH",4337
"3527","H83042","CR7 6JE",7818
"3528","H83043","CR0 8BH",7537
"3529","H83044","CR0 1FE",20280
"3530","H83049","CR0 0QL",2723
"3531","H83051","CR0 3EW",16223
"3532","H83052","CR5 2DR",2844
"3533","H83053","CR7 8LY",14900
"3534","H83608","CR7 7JH",6011
"3535","H83609","CR7 8JN",4539
"3536","H83611","SE25 5QA",4682
"3537","H83624","SW16 5PX",7955
"3538","H83625","CR7 6BH",3854
"3539","H83627","CR2 7DX",6684
"3540","H83631","CR0 3PN",9233
"3541","H84002","TW11 0AU",12972
"3542","H84005","TW9 2RG",14691
"3543","H84006","SW14 8LP",17777
"3544","H84007","TW1 4EA",8323
"3545","H84010","KT2 6HR",9897
"3546","H84012","TW1 3PA",13214
"3547","H84014","TW9 1SA",2616
"3548","H84015","KT6 6EZ",8368
"3549","H84016","KT3 3TX",15852
"3550","H84017","TW9 1UU",13619
"3551","H84018","TW12 3AX",5952
"3552","H84020","KT2 7PX",22148
"3553","H84023","SW13 0LW",11457
"3554","H84025","KT9 2GY",7258
"3555","H84027","KT2 6PG",19339
"3556","H84030","KT6 6EZ",13713
"3557","H84031","TW2 6JL",5882
"3558","H84032","KT1 4DY",9536
"3559","H84033","KT2 5HF",6918
"3560","H84034","KT9 1AG",8664
"3561","H84039","TW1 4QP",11170
"3562","H84040","TW12 2PB",11650
"3563","H84041","TW10 6PP",6657
"3564","H84042","KT3 6DR",12712
"3565","H84044","TW2 5TU",8383
"3566","H84048","TW1 2AR",8195
"3567","H84050","KT9 2GY",7585
"3568","H84051","KT3 6AA",6266
"3569","H84053","KT6 6EZ",4422
"3570","H84054","KT6 7QG",3505
"3571","H84055","SW14 8LP",11613
"3572","H84057","TW2 5AU",3789
"3573","H84059","TW11 8HU",4514
"3574","H84060","TW1 1PS",7557
"3575","H84061","KT2 5AD",19014
"3576","H84062","KT6 6EZ",7926
"3577","H84618","KT5 9QD",5068
"3578","H84619","KT6 6BS",11248
"3579","H84623","TW12 1NY",8581
"3580","H84625","TW2 6EE",4745
"3581","H84629","KT3 4BH",5559
"3582","H84630","TW2 6JL",3859
"3583","H84635","KT4 7LG",14842
"3584","H84639","TW9 4BH",5816
"3585","H85001","SW18 4DD",18208
"3586","H85002","SW11 2PH",9326
"3587","H85003","SW8 3RX",7435
"3588","H85005","SW17 7AL",7923
"3589","H85006","SW15 4AA",6756
"3590","H85007","SW18 5AE",11549
"3591","H85008","SW15 4HN",6121
"3592","H85009","SW12 9HS",12455
"3593","H85011","SW16 6PX",10152
"3594","H85012","SW15 6TQ",26129
"3595","H85018","SM2 6LX",8814
"3596","H85020","SW20 8DA",30664
"3597","H85021","SM5 2RT",6237
"3598","H85022","SM6 8AW",4169
"3599","H85023","SM4 6BH",4645
"3600","H85024","CR4 3PR",8604
"3601","H85025","SM5 2RE",15694
"3602","H85026","SW19 4DL",14726
"3603","H85027","SW19 5BY",13295
"3604","H85028","SW19 1NX",10491
"3605","H85029","CR4 1BP",10610
"3606","H85030","SM1 4AF",12893
"3607","H85031","SM1 4EB",11873
"3608","H85032","SM5 3LS",3854
"3609","H85033","CR4 1DL",9257
"3610","H85035","SW16 5HF",6806
"3611","H85037","SW19 3DA",14956
"3612","H85038","CR4 3DA",11643
"3613","H85041","SW18 4HH",13745
"3614","H85045","SW11 3AD",14700
"3615","H85047","SW11 3UJ",10848
"3616","H85048","SW18 4DU",16476
"3617","H85049","SW11 1HG",7399
"3618","H85051","SW20 0LW",17549
"3619","H85052","SW16 6LY",4950
"3620","H85053","SM1 4NG",4730
"3621","H85055","KT3 6JD",7460
"3622","H85057","SW18 5DS",7655
"3623","H85061","SW15 2TL",20879
"3624","H85063","SM3 8EP",13465
"3625","H85065","SW15 4LE",4100
"3626","H85066","SW17 7AW",19297
"3627","H85067","SW15 4DU",3105
"3628","H85069","SW11 5TU",13969
"3629","H85070","SM4 5RT",9355
"3630","H85075","SW11 1SW",5318
"3631","H85076","SM3 9EY",8947
"3632","H85077","SW11 6BF",5842
"3633","H85078","CR4 3HS",4068
"3634","H85082","SW18 4HX",4660
"3635","H85087","SW12 8EU",9556
"3636","H85088","SW11 2EJ",2509
"3637","H85090","CR4 3LD",9253
"3638","H85092","SW19 1YG",5771
"3639","H85095","SM1 2RJ",14272
"3640","H85100","SW19 6EW",7909
"3641","H85101","SW20 9EA",8880
"3642","H85103","SM6 7HF",6113
"3643","H85105","SM3 8BS",13375
"3644","H85110","CR4 4DQ",5324
"3645","H85111","SW11 5JP",12499
"3646","H85112","SW19 7JL",5532
"3647","H85113","SM6 8BL",3963
"3648","H85114","SW12 8TT",14426
"3649","H85115","SM6 0HY",13280
"3650","H85116","SM6 9DW",9339
"3651","H85618","SM3 9HE",9521
"3652","H85634","SW19 1DG",7758
"3653","H85637","SW12 9HS",1352
"3654","H85649","SW19 2BY",11209
"3655","H85653","SM6 0HY",16518
"3656","H85656","SW19 7JZ",5772
"3657","H85659","SW11 1SW",10031
"3658","H85662","SM5 3RB",5556
"3659","H85664","SW17 7BA",1925
"3660","H85665","SM6 9BY",2691
"3661","H85680","SW17 9HQ",10352
"3662","H85682","SW19 6AE",9917
"3663","H85683","SM4 6RS",5107
"3664","H85686","SM1 2DB",10140
"3665","H85691","SW12 8NB",122
"3666","H85693","SM5 1JF",11042
"3667","H85695","SW16 6BL",921
"3668","Y00182","CR7 7JN",1470
"3669","Y01132","SW15 6HG",14115
"3670","Y01206","SW13 0DR",11114
"3671","Y02423","SW17 0RT",40867
"3672","Y02946","SW11 2NU",8334
"3673","Y02962","CR0 1FE",5645
"3674","Y05317","SE25 5NT",7149
"3675","Y05318","SE25 5NT",6084
"3676","Y05857","SW15 3SW",133
"3677","B82004","HG3 5AT",10624
"3678","B82008","HG4 1HL",8436
"3679","B82010","HG4 2BE",7857
"3680","B82011","YO17 8PH",5569
"3681","B82012","HG2 8AY",14653
"3682","B82013","HG1 5JP",19485
"3683","B82014","HG2 7SA",6725
"3684","B82016","HG1 5AR",7758
"3685","B82017","YO21 1SD",13765
"3686","B82019","YO7 3RP",3543
"3687","B82022","TS9 6BL",5595
"3688","B82023","DL10 7LD",6447
"3689","B82024","YO11 3LJ",8593
"3690","B82025","YO17 9RF",20906
"3691","B82027","HG1 5AR",14786
"3692","B82029","DL11 7TH",3263
"3693","B82030","HG4 3SE",5856
"3694","B82032","YO51 9BD",11163
"3695","B82034","DL10 4BB",6230
"3696","B82035","DL10 6HB",3577
"3697","B82036","HG4 2AX",7497
"3698","B82037","YO14 9AE",8943
"3699","B82038","YO11 1UB",27264
"3700","B82042","YO7 1LU",8432
"3701","B82044","TS9 5DY",9173
"3702","B82045","DL8 3QR",4319
"3703","B82046","TS13 5AY",3066
"3704","B82049","YO7 1LG",7582
"3705","B82050","DL7 8FW",20625
"3706","B82054","YO12 6UB",14777
"3707","B82057","YO26 8BN",6733
"3708","B82059","HG1 4HG",10920
"3709","B82060","HG5 0AD",12548
"3710","B82062","YO21 1TX",2577
"3711","B82063","YO13 9JF",9082
"3712","B82066","DL8 2AT",9613
"3713","B82067","HG5 0JY",7604
"3714","B82069","HG5 0UB",7302
"3715","B82072","DL10 4UJ",5459
"3716","B82075","DL7 8AW",9636
"3717","B82078","DL8 5EP",6078
"3718","B82086","YO21 2PA",2425
"3719","B82088","YO12 7AS",10479
"3720","B82091","HG1 5AR",8037
"3721","B82101","YO22 5DP",5214
"3722","B82104","DL9 3JD",7787
"3723","B82106","YO12 5SD",4007
"3724","B82609","YO62 4EF",3935
"3725","B82622","DL11 6SU",1595
"3726","B82628","YO14 0NN",4043
"3727","Y02669","YO11 2NP",4393
"3728","C82040","DE74 2EL",8743
"3729","C84004","NG6 8AQ",7392
"3730","C84005","LE12 6JG",25804
"3731","C84009","NG24 1QD",13917
"3732","C84010","NG4 2FN",12061
"3733","C84011","NG5 4AD",8939
"3734","C84012","NG17 1ES",13609
"3735","C84014","NG17 1JW",10345
"3736","C84016","NG19 8BL",15660
"3737","C84017","NG13 8FD",25239
"3738","C84018","NG3 2FW",11720
"3739","C84019","NG24 1QH",13259
"3740","C84020","NG18 1QB",6955
"3741","C84021","NG22 9SZ",13050
"3742","C84023","NG7 2QW",43399
"3743","C84025","NG13 8NY",7351
"3744","C84026","NG5 7BP",12366
"3745","C84028","NG11 6HD",6934
"3746","C84029","NG24 4XG",20041
"3747","C84030","NG9 2NY",10674
"3748","C84031","NG18 1EE",2796
"3749","C84032","NG16 3BS",19097
"3750","C84033","NG4 3JA",8459
"3751","C84034","NG6 0HD",9062
"3752","C84036","NG19 6AB",16616
"3753","C84037","NG21 0RB",12348
"3754","C84039","NG7 2DW",12002
"3755","C84042","NG9 8DA",7436
"3756","C84043","NG6 8QJ",9585
"3757","C84044","NG8 2GR",10521
"3758","C84045","NG23 7LB",7568
"3759","C84046","NG11 8EW",8429
"3760","C84047","NG14 6FP",9675
"3761","C84049","NG25 0AL",12451
"3762","C84051","NG18 5GG",19599
"3763","C84053","NG15 6DY",15885
"3764","C84055","NG5 7BQ",11494
"3765","C84057","NG19 7PE",3852
"3766","C84059","NG19 0FW",11860
"3767","C84060","NG11 8AD",9014
"3768","C84061","NG17 1AT",8873
"3769","C84063","NG3 7DQ",8714
"3770","C84064","NG6 8QJ",8403
"3771","C84065","NG9 2QP",5380
"3772","C84066","NG5 6HP",10899
"3773","C84067","NG17 9JB",6056
"3774","C84069","NG18 1QQ",13634
"3775","C84072","NG3 3GG",10248
"3776","C84074","NG17 7DG",4406
"3777","C84076","NG17 7LG",4034
"3778","C84077","NG17 2NF",9321
"3779","C84078","NG5 1NA",13336
"3780","C84080","NG9 1GA",13123
"3781","C84081","NG11 8EW",6378
"3782","C84084","NG12 2GD",8191
"3783","C84085","NG1 3LW",10305
"3784","C84086","NG2 7PG",13289
"3785","C84087","NG21 0AD",6081
"3786","C84090","NG2 7SD",9806
"3787","C84091","NG8 5RU",8622
"3788","C84092","NG2 2JG",4880
"3789","C84095","NG15 7UA",7135
"3790","C84103","NG7 5HY",4265
"3791","C84105","NG7 5HY",6986
"3792","C84106","NG18 5PF",8458
"3793","C84107","NG9 8DA",7621
"3794","C84112","NG9 3HF",3674
"3795","C84113","NG21 9QS",6985
"3796","C84114","NG17 3EE",9097
"3797","C84115","NG3 5LB",7786
"3798","C84116","NG8 5HL",8695
"3799","C84117","NG7 3GW",23036
"3800","C84120","NG9 6DX",15486
"3801","C84122","NG8 1FG",9485
"3802","C84123","NG22 8QB",3656
"3803","C84127","NG20 0BP",4577
"3804","C84129","NG5 5EB",9155
"3805","C84131","NG16 3HU",7698
"3806","C84135","NG5 5RB",41
"3807","C84136","NG7 3GW",5165
"3808","C84138","NG6 8ED",2488
"3809","C84140","NG17 7BG",5095
"3810","C84142","NG16 6BT",5090
"3811","C84144","NG2 2JG",4402
"3812","C84150","NG3 6EU",4143
"3813","C84151","NG7 7DS",2939
"3814","C84605","NG2 7SD",16984
"3815","C84613","NG4 3DQ",12590
"3816","C84619","NG5 3HU",6798
"3817","C84621","NG2 7PX",4539
"3818","C84624","NG16 2NB",5257
"3819","C84628","NG7 7AD",7191
"3820","C84629","NG17 7BG",4330
"3821","C84637","NG18 2LT",6264
"3822","C84646","NG14 5BG",7126
"3823","C84647","NG8 4FD",6
"3824","C84654","NG16 5JW",4197
"3825","C84656","NG21 0JP",7814
"3826","C84658","NG20 0BP",6071
"3827","C84660","NG23 6PX",4400
"3828","C84664","NG5 2JJ",4927
"3829","C84667","NG16 2GE",5014
"3830","C84676","NG7 6ER",7289
"3831","C84679","NG18 1QA",3663
"3832","C84682","NG5 2EJ",4788
"3833","C84683","NG2 4PJ",10405
"3834","C84691","NG7 5HY",8563
"3835","C84693","NG3 7EJ",5373
"3836","C84694","NG8 6AB",3940
"3837","C84695","NG5 5HW",3763
"3838","C84696","NG3 6EW",5468
"3839","C84703","NG2 6PS",6295
"3840","C84704","NG8 3LF",6203
"3841","C84705","NG9 8PN",6535
"3842","C84714","NG11 8NS",6904
"3843","C84717","NG6 9AA",2985
"3844","C84720","NG7 2GW",41
"3845","Y00026","NG15 7JP",2175
"3846","Y02847","NG1 6LD",7719
"3847","Y03124","NG8 4HQ",6157
"3848","Y05369","NG24 3HJ",6250
"3849","Y05622","NG5 5GU",4392
"3850","Y05690","NG17 7AE",6910
"3851","Y06356","NG8 4PN",10784
"3852","Y06443","NG15 7JE",12463
"3853","Y06507","NG4 1JA",5599
"3854","Y06792","NG8 6LN",6002
"3855","H82003","RH15 9XN",9548
"3856","H82004","RH13 8DN",4811
"3857","H82005","RH17 5BQ",12357
"3858","H82006","GU28 0LP",6037
"3859","H82007","BN16 3NX",13259
"3860","H82009","BN14 7JL",15828
"3861","H82011","BN12 6FA",15441
"3862","H82012","RH11 7TF",12374
"3863","H82013","PO19 1RW",12811
"3864","H82014","BN16 3BE",12893
"3865","H82016","PO22 9TD",13598
"3866","H82017","RH12 1BG",23558
"3867","H82020","PO21 1UT",9191
"3868","H82021","BN18 9HG",6624
"3869","H82022","BN44 3RJ",12066
"3870","H82023","BN43 5US",36432
"3871","H82025","RH10 5BW",16077
"3872","H82026","RH10 7QH",18467
"3873","H82027","RH12 3HB",3985
"3874","H82028","RH12 1AT",13706
"3875","H82030","RH20 1FG",13091
"3876","H82031","RH14 0SU",6344
"3877","H82032","GU29 9AW",12921
"3878","H82033","RH11 8TY",7311
"3879","H82034","BN14 0DL",27586
"3880","H82035","RH16 2HX",11488
"3881","H82036","RH12 1PJ",9083
"3882","H82037","PO20 0QG",12715
"3883","H82038","PO22 6DH",13436
"3884","H82039","BN17 6BF",11101
"3885","H82040","RH10 4HY",31882
"3886","H82041","BN11 1XE",13438
"3887","H82042","PO19 1XT",13595
"3888","H82043","PO21 4JB",11534
"3889","H82044","RH16 4BN",11049
"3890","H82045","BN11 4BS",20923
"3891","H82046","BN14 8JE",12311
"3892","H82047","RH10 1LL",11407
"3893","H82048","BN18 0DU",11166
"3894","H82049","PO19 3DT",10523
"3895","H82050","RH11 0BF",9904
"3896","H82051","PO19 5RH",11952
"3897","H82052","RH10 7DX",16549
"3898","H82053","RH10 6JN",7150
"3899","H82055","RH14 9QZ",13656
"3900","H82056","RH16 3BB",13606
"3901","H82057","BN6 9UQ",20562
"3902","H82058","PO21 2UW",16149
"3903","H82059","BN16 3AH",10896
"3904","H82060","BN5 9JQ",10215
"3905","H82061","BN11 2LL",8701
"3906","H82063","RH19 3GW",15224
"3907","H82064","RH10 6TE",10087
"3908","H82065","BN15 9UX",14175
"3909","H82066","BN17 5JR",15949
"3910","H82067","PO20 2HS",6568
"3911","H82070","RH20 4FR",13261
"3912","H82072","RH15 0EF",13464
"3913","H82076","BN11 5RZ",3661
"3914","H82077","PO20 3RP",11592
"3915","H82078","PO10 8JH",10878
"3916","H82084","RH15 9BS",6516
"3917","H82087","BN12 5HJ",4132
"3918","H82088","RH11 8XT",6932
"3919","H82089","RH12 1UD",8188
"3920","H82091","BN15 8AN",8296
"3921","H82092","RH13 9HQ",9722
"3922","H82095","PO20 8BH",10668
"3923","H82096","BN15 9AG",6297
"3924","H82098","RH11 9JA",10819
"3925","H82099","PO21 5SB",7712
"3926","H82100","RH16 3TG",8005
"3927","H82615","RH17 6HB",8269
"3928","H82640","RH12 5JL",16413
"3929","Y00351","RH11 0NF",11684
"3930","C82076","NG13 0AN",7312
"3931","C83001","LN5 7LB",11684
"3932","C83002","LN5 0JJ",8513
"3933","C83003","PE11 1UN",19470
"3934","C83004","PE21 8UE",11406
"3935","C83005","PE23 5LG",7464
"3936","C83007","PE9 1YA",29599
"3937","C83008","NG31 7XT",6820
"3938","C83009","LN2 2JP",9183
"3939","C83010","PE21 6PF",17488
"3940","C83011","NG34 9QP",11283
"3941","C83013","NG34 9GQ",7943
"3942","C83014","LN6 7SS",10044
"3943","C83015","PE20 3JE",8568
"3944","C83018","DN21 2UQ",12335
"3945","C83019","PE25 2RN",19930
"3946","C83020","NG32 3PP",9574
"3947","C83022","PE11 2BY",20566
"3948","C83023","NG34 7HD",17378
"3949","C83024","NG33 4RZ",3311
"3950","C83025","LN6 9AY",18004
"3951","C83026","PE6 8DD",23872
"3952","C83027","LN9 6AL",9549
"3953","C83028","PE12 7EE",7846
"3954","C83029","LN4 1LH",5640
"3955","C83030","LN4 4AU",4952
"3956","C83031","LN2 2RS",12206
"3957","C83032","LN13 9HT",7524
"3958","C83033","DN20 9ED",3536
"3959","C83035","PE10 9XR",12002
"3960","C83036","PE11 4NL",7423
"3961","C83037","LN2 3JH",9526
"3962","C83038","LN1 2NU",8170
"3963","C83039","PE12 6QB",5594
"3964","C83040","NG31 6QA",14831
"3965","C83041","LN6 0QQ",7940
"3966","C83042","LN11 7QU",6472
"3967","C83043","LN8 3BP",10517
"3968","C83044","DN21 2DJ",11766
"3969","C83045","PE25 3TD",17846
"3970","C83046","LN4 2LA",5814
"3971","C83048","NG31 6HR",14054
"3972","C83049","PE22 9LE",8470
"3973","C83051","LN2 5HR",7826
"3974","C83052","LN1 2XF",3587
"3975","C83053","NG33 5NJ",2623
"3976","C83054","PE10 9BT",13468
"3977","C83055","PE22 8AA",5778
"3978","C83056","LN11 9EH",14715
"3979","C83057","PE20 1DS",7712
"3980","C83058","LN4 1BN",7768
"3981","C83059","PE21 6JU",13223
"3982","C83060","PE21 8EG",17150
"3983","C83061","DN36 5RT",9379
"3984","C83062","LN4 3EZ",5638
"3985","C83063","PE12 9HB",16089
"3986","C83064","LN12 1DP",14598
"3987","C83065","PE12 7DE",7607
"3988","C83067","NG23 5FR",6304
"3989","C83071","LN6 8RT",7147
"3990","C83072","LN2 2JP",10315
"3991","C83073","LN1 3LJ",6439
"3992","C83074","DN21 5JZ",4215
"3993","C83075","NG31 6RQ",8753
"3994","C83078","LN5 9AB",9365
"3995","C83079","LN2 4QN",5385
"3996","C83080","NG31 9NS",6064
"3997","C83082","LN6 0QQ",9905
"3998","C83083","LN4 4SG",7930
"3999","C83085","LN11 0JN",12646
"4000","C83611","LN5 9HF",6741
"4001","C83613","LN7 6NX",5186
"4002","C83614","PE20 2ET",3622
"4003","C83617","PE6 0AL",8424
"4004","C83626","LN1 1XP",9036
"4005","C83631","PE11 3DT",3235
"4006","C83634","LN10 6TX",4305
"4007","C83635","LN10 6SQ",5626
"4008","C83641","LN1 2NU",4363
"4009","C83643","LN8 6ED",2347
"4010","C83649","NG33 4BB",4952
"4011","C83650","LN8 5DA",3791
"4012","C83653","NG32 1QS",3743
"4013","Y01652","NG34 0QQ",6302
"4014","Y04942","LN6 7GA",10721
"4015","G83001","SE3 0EN",12503
"4016","G83002","DA16 2HE",9655
"4017","G83004","DA14 4TA",14322
"4018","G83006","DA6 7LP",14923
"4019","G83009","DA16 3RE",12061
"4020","G83010","DA8 3DB",14006
"4021","G83012","SE28 8BE",15959
"4022","G83013","SE3 7HB",6552
"4023","G83015","SE9 5DQ",7761
"4024","G83016","SE18 6TE",11337
"4025","G83018","SE2 9LH",16696
"4026","G83019","SE18 1BB",12094
"4027","G83021","SE10 9GB",17690
"4028","G83024","DA16 2JZ",4961
"4029","G83025","DA16 2AT",11317
"4030","G83026","SE18 5TE",7546
"4031","G83027","SE9 6ER",18527
"4032","G83028","DA16 3HQ",12593
"4033","G83029","DA5 1HU",7172
"4034","G83030","SE18 3PS",6006
"4035","G83031","SE2 9AT",7553
"4036","G83033","DA7 5HL",5619
"4037","G83039","SE18 3EP",9095
"4038","G83044","SE7 8TX",11805
"4039","G83046","DA7 6HZ",5542
"4040","G83047","DA15 7DS",10013
"4041","G83049","DA7 6DL",10308
"4042","G83052","DA17 5LQ",17561
"4043","G83053","DA7 5RB",18948
"4044","G83057","DA15 8DF",10251
"4045","G83058","SE10 8NT",9256
"4046","G83060","SE18 7LU",6847
"4047","G83062","DA8 2HS",9549
"4048","G83065","SE10 8EX",16045
"4049","G83066","DA14 6BU",20217
"4050","G83067","SE18 6PZ",27588
"4051","G83628","SE9 3PT",9744
"4052","G83630","DA8 1RQ",12573
"4053","G83631","SE2 0ER",4724
"4054","G83633","SE18 1AH",5380
"4055","G83635","SE18 7QU",4455
"4056","G83641","SE10 8PA",2740
"4057","G83642","DA1 4ER",10208
"4058","G83647","SE18 1SE",6731
"4059","G83651","SE10 9UB",6380
"4060","G83654","SE18 1ES",5142
"4061","G83673","SE9 3JD",5192
"4062","G83680","SE9 5DQ",24348
"4063","G84001","BR1 3DR",13389
"4064","G84002","BR1 1HN",12406
"4065","G84003","BR1 4PX",11101
"4066","G84004","TN16 3TJ",10032
"4067","G84005","BR5 4DU",5004
"4068","G84006","BR6 7AR",10175
"4069","G84007","BR5 2DQ",8547
"4070","G84008","BR3 5LE",5851
"4071","G84009","BR6 6BG",4038
"4072","G84010","BR7 5AQ",14571
"4073","G84011","BR3 4DQ",8667
"4074","G84013","BR5 4AR",3778
"4075","G84015","BR4 0PU",11227
"4076","G84016","BR1 4HB",14273
"4077","G84017","BR4 9BG",9175
"4078","G84018","BR3 5LG",8284
