"","Postcode_District","Count_GP_Surgeries","Total_Registered_Patients","Total_Registered_Practitioners","Count"
"995","N19",6,50488,60,35005
"996","N2",3,21194,28,24617
"997","N20",3,26072,43,20114
"998","N21",3,42321,44,24264
"999","N22",7,51678,53,43559
"1000","N3",8,46425,60,26762
"1001","N4",6,51960,68,53182
"1002","N5",2,19443,19,25724
"1003","N6",1,16743,29,18255
"1004","N7",8,57022,80,50828
"1005","N8",6,54170,64,40057
"1006","N9",10,153252,163,53045
"1007","NE1",2,57764,54,13352
"1008","NE10",4,29606,49,34211
"1009","NE11",1,9161,24,15970
"1010","NE12",4,35804,71,36636
"1011","NE13",2,13344,20,20156
"1012","NE15",3,24017,42,33906
"1013","NE16",3,25203,41,24720
"1014","NE17",2,9964,15,4563
"1015","NE2",2,15686,24,32652
"1016","NE20",2,18590,35,12581
"1017","NE21",4,23820,42,17695
"1018","NE22",2,18402,36,17946
"1019","NE23",4,27683,55,39517
"1020","NE24",2,39366,64,40360
"1021","NE25",3,19728,36,30385
"1022","NE26",4,31263,52,19167
"1023","NE27",2,14105,24,16348
"1024","NE28",4,41074,88,46557
"1025","NE29",5,56595,102,35744
"1026","NE3",7,55687,93,52925
"1027","NE31",3,20645,28,22945
"1028","NE32",4,21124,31,24425
"1029","NE33",7,51081,62,25942
"1030","NE34",4,46045,68,51674
"1031","NE35",2,14498,20,6276
"1032","NE37",3,25198,37,19826
"1033","NE38",4,29557,49,31617
"1034","NE39",1,6009,7,8610
"1035","NE4",7,71906,131,42300
"1036","NE40",2,10919,33,15634
"1037","NE42",3,14962,31,12460
"1038","NE43",1,5400,9,4445
"1039","NE45",1,7007,13,3583
"1040","NE46",3,19603,36,15053
"1041","NE47",1,5409,13,7667
"1042","NE48",1,3417,8,4132
"1043","NE49",1,5589,14,4222
"1044","NE5",4,39263,72,50069
"1045","NE6",6,63827,117,50709
"1046","NE61",5,72788,102,34044
"1047","NE62",1,8051,20,9052
"1048","NE63",1,18925,30,28239
"1049","NE65",3,19677,40,21558
"1050","NE66",1,18873,21,17588
"1051","NE7",2,16032,27,14867
"1052","NE70",1,4477,10,1779
"1053","NE71",2,4663,15,2944
"1054","NE8",9,60629,111,32421
"1055","NE9",4,31688,54,36821
"1056","NG1",2,18024,41,16562
"1057","NG10",6,50619,73,47420
"1058","NG11",5,37659,57,39041
"1059","NG12",1,8191,12,35767
"1060","NG13",3,39902,66,23224
"1061","NG14",2,16801,33,19983
"1062","NG15",4,37658,39,45726
"1063","NG16",6,46353,57,64116
"1064","NG17",11,82076,96,75325
"1065","NG18",7,61369,75,45052
"1066","NG19",4,47988,72,54389
"1067","NG2",8,70600,105,60395
"1068","NG20",3,26686,33,27911
"1069","NG21",4,33228,37,24583
"1070","NG22",3,21824,37,28040
"1071","NG23",3,18272,29,18103
"1072","NG24",4,53467,58,48282
"1073","NG25",1,12451,15,9165
"1074","NG3",7,53452,73,52095
"1075","NG31",5,50522,58,47362
"1076","NG32",2,13317,25,13160
"1077","NG33",3,10886,27,9741
"1078","NG34",4,42906,39,43536
"1079","NG4",4,38709,55,40836
"1080","NG5",12,90898,136,89787
"1081","NG6",6,39915,60,38820
"1082","NG7",11,120876,126,62856
"1083","NG8",10,70415,105,67062
"1084","NG9",8,69929,128,73708
"1085","NN1",6,64374,71,35013
"1086","NN10",4,42526,54,41557
"1087","NN11",3,42319,65,41581
"1088","NN12",2,19006,21,26494
"1089","NN13",2,27462,28,21978
"1090","NN14",4,38478,51,46878
"1091","NN15",3,40371,51,41688
"1092","NN16",3,45376,73,32247
"1093","NN17",3,55870,77,33524
"1094","NN18",2,28012,45,40310
"1095","NN2",6,62427,82,42095
"1096","NN29",2,9408,15,11812
"1097","NN3",8,80976,94,78057
"1098","NN4",3,35610,48,52646
"1099","NN5",1,21839,27,45309
"1100","NN6",4,37737,51,37473
"1101","NN7",4,53056,78,30086
"1102","NN8",4,67595,92,54816
"1103","NN9",4,25608,39,29037
"1104","NR1",3,30953,55,28988
"1105","NR11",4,28739,45,19182
"1106","NR12",3,26297,50,21362
"1107","NR13",3,25276,45,28677
"1108","NR14",3,27500,49,27394
"1109","NR15",1,11223,19,16097
"1110","NR16",1,8667,19,12733
"1111","NR17",1,18689,22,17957
"1112","NR18",2,26312,49,21251
"1113","NR19",3,23628,43,20587
"1114","NR2",4,39001,62,27053
"1115","NR20",2,18474,32,20310
"1116","NR21",1,15509,33,16472
"1117","NR23",1,3245,12,3051
"1118","NR25",1,14186,21,8740
"1119","NR26",1,9576,18,8193
"1120","NR27",1,12376,18,11647
"1121","NR28",2,18448,35,17757
"1122","NR29",3,25484,46,21066
"1123","NR3",6,62071,105,34509
"1124","NR30",2,38780,53,31259
"1125","NR31",3,50927,58,50861
"1126","NR32",3,39776,43,40375
"1127","NR33",5,45933,75,39218
"1128","NR34",1,19662,26,22257
"1129","NR35",1,11379,25,11091
"1130","NR4",2,42200,70,25354
"1131","NR5",3,33582,70,32240
"1132","NR6",2,18177,23,24698
"1133","NR7",2,28737,33,34845
"1134","NR8",2,26496,40,22766
"1135","NR9",1,6820,14,19369
"1136","NW1",9,49556,87,55725
"1137","NW10",11,95361,118,95126
"1138","NW11",6,45214,61,33713
"1139","NW2",12,86228,91,70428
"1140","NW3",6,71628,113,49336
"1141","NW4",4,32687,41,34096
"1142","NW5",5,62349,130,30259
"1143","NW6",7,86467,98,66446
"1144","NW7",3,37507,51,28645
"1145","NW8",4,47087,56,32802
"1146","NW9",10,81093,102,78315
"1147","OL1",10,36329,64,25455
"1148","OL10",5,32893,50,29666
"1149","OL11",8,53445,69,48289
"1150","OL12",5,45984,51,47427
"1151","OL13",1,14760,23,16577
"1152","OL14",2,16238,24,15881
"1153","OL15",4,20535,36,14649
"1154","OL16",6,38830,44,40561
"1155","OL2",4,40533,59,41111
"1156","OL3",1,14022,16,15376
"1157","OL4",8,56222,67,47559
"1158","OL5",3,16533,25,11591
"1159","OL6",5,41473,52,30746
"1160","OL7",3,15590,24,18127
"1161","OL8",6,28022,64,46579
"1162","OL9",7,51639,60,43990
"1163","OX1",5,36896,74,27136
"1164","OX10",3,28475,51,28489
"1165","OX11",3,45912,60,44502
