"","Postcode_District","Count_GP_Surgeries","Total_Registered_Patients","Total_Registered_Practitioners","Count"
"963","MK11",2,18405,40,10384
"964","MK12",1,16062,14,14487
"965","MK13",1,19513,19,19241
"966","MK14",3,22581,37,21324
"967","MK15",1,11411,14,6883
"968","MK16",2,27089,40,19113
"969","MK17",1,12149,12,20356
"970","MK18",1,30518,37,34665
"971","MK2",3,35433,30,17135
"972","MK3",2,32288,41,27840
"973","MK4",1,15170,17,24643
"974","MK40",7,87199,96,39401
"975","MK41",2,24534,39,43720
"976","MK42",4,55098,63,56441
"977","MK43",3,26338,29,42493
"978","MK44",2,11088,18,16537
"979","MK45",5,55440,72,49442
"980","MK46",1,8375,10,9391
"981","MK5",1,12270,7,15845
"982","MK6",3,26603,26,29608
"983","MK7",1,12079,13,14790
"984","MK8",2,21233,28,15255
"985","N1",15,147130,213,93853
"986","N10",3,31127,45,27484
"987","N11",4,44188,59,31397
"988","N12",2,23581,41,30696
"989","N13",3,31608,21,33667
"990","N14",2,17932,28,31422
"991","N15",10,95911,92,48426
"992","N16",13,105424,189,68429
"993","N17",7,55212,72,68813
"994","N18",4,27933,13,34387
