"Postcode_District","Population","Registered_Patients","Registered_Practitioners","GP_Surgeries"
"OX14",45921,60656,96,5
"OX15",21698,23538,39,3
"OX16",52329,69048,84,4
"OX17",18647,4478,11,1
"OX18",27607,27409,45,3
"OX2",41413,64300,84,5
"OX20",5384,9282,15,1
"OX26",38088,53237,75,3
"OX28",28309,39064,73,3
"OX29",26942,15168,38,1
"OX3",47650,48094,72,2
"OX33",7894,11153,23,1
"OX4",66905,87411,161,8
"OX49",4204,7136,15,1
"OX5",24117,26685,38,3
"OX7",24639,27412,47,3
"OX9",16011,12869,22,1
"PE1",56750,77742,66,4
"PE10",25576,25470,48,2
"PE11",47174,50694,39,4
"PE12",41880,37136,43,4
"PE13",38051,50558,67,4
"PE14",22503,16924,16,2
"PE15",31568,36477,51,4
"PE16",11163,12179,21,1
"PE19",46797,51056,85,5
"PE2",53616,25337,35,3
"PE20",15543,19902,21,3
"PE21",47026,59267,61,4
"PE22",17143,14248,21,2
"PE23",8929,7464,12,1
"PE25",23145,37776,37,2
"PE26",12021,7055,14,1
"PE27",20656,39842,53,3
"PE28",52394,34384,60,4
"PE29",32483,37802,65,3
"PE3",33378,17259,20,3
"PE30",46719,71846,120,4
"PE31",19528,12011,30,2
"PE32",16251,15261,24,3
"PE33",15758,10008,21,2
"PE34",14906,6795,8,1
"PE37",11834,21011,38,3
"PE38",16547,20941,29,3
"PE4",30344,13809,17,1
"PE5",1540,4247,6,1
"PE6",39581,116589,99,3
"PE7",51043,48351,44,3
"PE8",18725,19698,33,2
"PE9",33295,29599,36,1
"PL1",26332,25759,49,4
"PL11",10307,11848,11,1
"PL12",21801,23766,41,3
"PL13",10064,9830,22,1
"PL14",24840,26222,33,2
"PL15",21403,19041,27,1
"PL17",10307,16727,32,1
"PL19",17014,27781,55,2
"PL2",32327,41948,57,3
"PL20",12388,7594,12,1
"PL21",19079,4813,14,1
"PL22",3865,5100,7,1
"PL23",3150,8119,13,1
"PL24",10534,6582,8,1
"PL25",27666,31835,25,1
"PL26",28257,23806,42,3
"PL27",12511,7828,15,1
"PL29",926,8848,12,1
"PL3",31096,7970,8,1
"PL31",16771,23399,33,2
"PL32",4588,6460,8,2
"PL35",985,4811,8,1
"PL4",35312,45205,96,4
"PL5",44006,84204,107,5
"PL6",42828,26820,38,3
"PL7",31340,42818,52,1
"PL8",6130,6477,12,1
"PL9",31091,25526,44,3
"PO1",31461,40627,51,3
"PO10",20280,24687,42,2
"PO11",17390,18006,29,2
"PO12",46366,54223,54,3
"PO13",35702,29887,30,3
"PO14",33652,12706,24,1
"PO15",23064,47892,59,3
"PO16",32537,35185,58,3
"PO17",6965,13437,19,1
"PO19",33528,48881,74,4
"PO2",42522,73500,77,2
"PO20",36182,41543,54,4
"PO21",43414,44586,59,4
"PO22",31977,27034,41,2
"PO3",20604,22522,32,2
"PO30",31257,33046,29,2
"PO31",14852,15352,18,1
"PO32",9147,8685,18,1
"PO33",31045,35545,56,4
"PO36",16584,27323,30,1
"PO38",12332,14825,19,2
"PO4",41272,13504,13,1
"PO40",5706,11065,18,1
"PO5",29391,51455,63,3
"PO6",42520,28404,35,2
"PO7",44179,37159,49,2
"PO8",35752,34703,50,4
"PO9",50906,54807,84,5
"PR1",73467,111090,97,11
"PR2",80048,66855,79,7
"PR25",32716,37041,47,5
"PR26",15650,14160,11,2
"PR3",42034,47361,55,4
"PR4",65417,45409,58,6
"PR5",40633,38557,45,5
"PR6",36207,37887,43,5
"PR7",64116,67715,83,8
"PR8",56153,57546,71,8
"PR9",43925,43240,63,5
"RG1",49233,55273,64,7
"RG10",18786,20096,39,2
"RG12",59266,79361,115,7
"RG14",42335,49859,65,3
"RG17",15472,23064,40,3
"RG18",20020,18744,20,1
"RG19",17328,10323,17,1
"RG2",47277,68697,80,4
"RG20",19902,29763,45,2
"RG21",30628,47599,49,2
"RG22",42414,50128,62,2
"RG24",39326,29299,22,2
"RG26",23400,27397,49,2
"RG27",24225,18197,29,1
"RG28",6418,9512,15,1
"RG29",7064,12007,18,1
"RG30",48859,56062,73,3
"RG31",28736,20383,24,2
"RG4",40917,42467,64,3
"RG40",32242,45107,63,3
"RG41",32107,14249,15,1
"RG42",29381,21991,21,2
"RG45",15419,8415,6,1
"RG5",27826,27930,38,2
"RG6",40124,46940,84,3
"RG7",36324,45384,53,4
"RG8",19354,22227,33,2
"RG9",23698,24722,46,3
"RH1",50436,56316,88,5
"RH10",73959,111619,130,7
"RH11",60281,59024,82,6
"RH12",51991,74933,100,6
"RH13",40063,14533,26,2
"RH14",16936,20000,33,2
"RH15",34156,29528,52,3
"RH16",39232,44148,78,4
"RH17",20486,20626,35,2
"RH18",4476,9815,14,1
"RH19",35193,15224,20,1
"RH2",27631,21103,34,1
"RH20",26481,26352,36,2
"RH3",4228,12740,24,1
"RH4",16427,23773,44,2
"RH5",16249,7974,12,1
"RH6",35061,31052,74,3
"RH7",8866,10796,15,1
"RH8",15852,16869,27,1
"RH9",5649,6677,15,1
"RM1",23049,51476,58,4
"RM10",42394,48121,47,8
"RM11",32650,19605,19,4
"RM12",36032,49620,48,6
"RM13",32562,18388,20,4
"RM14",28044,27572,30,4
"RM15",32232,33915,37,5
"RM16",43963,32343,37,3
"RM17",29933,48632,60,8
"RM18",19772,37592,40,5
"RM19",7356,6310,5,1
"RM2",13842,9938,4,1
"RM3",48053,60563,64,10
"RM4",4568,4074,8,1
"RM5",20835,20445,22,2
